date,uuid,rank,username,lastJoined,daysLastJoined,playtime,wars,graids,lootruns,raids,totalLevel,contentCompletion
2026-01-14T23:10:20.363761Z,91be9a75-7398-47e0-8c4d-f79df2fc035f,CHIEF,Tisumi,2026-01-13T21:54:44.831000Z,0.052,948.17,477,142,2,890,2512,1943
2026-02-24T23:10:20.363761Z,5652732f-e36b-4ca4-87ca-59f9c6dc3ba1,CHIEF,_N8,2026-02-24T10:18:00.856000Z,0.536,608.33,289,8,1,72,1410,1500
2026-02-24T23:10:20.363761Z,0a19dd60-254e-4c48-9d76-1b57a2f12c7f,CHIEF,GigaFanDeJul,2026-02-24T11:21:58.673000Z,0.492,698.75,181,97,1,194,2680,1224
2026-02-24T23:10:20.363761Z,4a82c3ac-be5d-4115-a822-f2a9c7bdb096,CHIEF,Krijer1,2026-02-24T21:16:01.733000Z,0.079,580.67,165,22,5,147,3363,1725
2026-02-24T23:10:20.363761Z,bd5c1697-4d42-41dd-a4f2-2c8a3a669104,CHIEF,Shivnitzl19,2026-02-24T15:25:51.413000Z,0.323,6972.42,39,19,5,480,18850,4993
2026-02-24T23:10:20.363761Z,1a3f6b2a-993b-49ed-8542-7584081864b6,CHIEF,Xentell,2026-02-22T07:26:54.193000Z,2.655,254.92,37,9,5,49,1155,778
2026-02-24T23:10:20.363761Z,845eed02-175a-44b4-87a2-0228b1fbc3ee,CHIEF,H1V,2026-02-24T05:20:50.897000Z,0.743,1144.33,28,159,5,436,3243,3381
2026-02-24T23:10:20.363761Z,89cdeb83-0958-4563-a606-0a460e13abfa,CHIEF,ewenfi,2026-02-24T20:52:23.064000Z,0.096,954.42,71,79,2,386,1940,1956
2026-02-24T23:10:20.363761Z,4470c807-1394-4930-937d-1680d508d22d,CHIEF,KirouXD,2026-02-24T20:47:10.220000Z,0.099,371.42,92,47,3,173,1136,655
2026-02-24T23:10:20.363761Z,eb33d516-a34b-4050-bd2c-69a24bf0bd75,CHIEF,Chevacchi,2026-02-24T14:06:17.311000Z,0.378,326.17,483,7,0,23,1033,713
2026-02-24T23:10:20.363761Z,1b6568dd-4e58-442f-918f-90926f58de0c,STRATEGIST,clohi,2026-02-24T21:54:49.033000Z,0.052,2332.75,139,4,2,318,5091,2895
2026-02-24T23:10:20.363761Z,130612b6-1d46-49c7-b06e-3200959254c7,STRATEGIST,_Snoopers_,2026-02-24T20:24:52.790000Z,0.115,358.58,36,21,5,64,5262,1313
2026-02-24T23:10:20.363761Z,a8ff0b79-9511-47b7-8705-b657eba980aa,STRATEGIST,LaserX,2026-02-22T01:24:47.896000Z,2.907,735.58,73,41,5,177,3456,2116
2026-01-10T23:10:20.363761Z,f46a3aa1-ed18-48f4-bcf9-594e0ff19842,STRATEGIST,WhiteNoise0113,2026-01-05T13:27:53.006000Z,0.404,2872.58,4012,97,5,261,9528,3904
2026-01-10T23:10:20.363761Z,c32bfbf5-9665-4ad1-837e-92fa882288a3,STRATEGIST,StyNath,2026-01-05T22:54:55.111000Z,1.011,135.67,9,23,1,56,882,551
2026-02-24T23:10:20.363761Z,ce2fc852-9b0e-41d2-a323-603be70f5b69,STRATEGIST,kcsato,2026-02-19T18:29:08.979000Z,5.195,325.25,101,10,4,47,2299,1211
2026-02-24T23:10:20.363761Z,9604c081-52b1-4224-8107-b00885644c84,STRATEGIST,imNaphy,2026-02-16T19:10:01.632000Z,8.167,353.5,0,0,0,0,3518,899
2026-02-24T23:10:20.363761Z,96512a2a-4200-463e-8974-27a4c81947cd,STRATEGIST,FireGamingDK,2026-02-19T09:14:51.145000Z,5.58,422.17,97,0,3,31,3206,1620
2026-02-24T23:10:20.363761Z,a27ae078-8209-4c2e-85ea-57de6168cc9b,CAPTAIN,xEagless,2026-02-24T01:34:14.599000Z,0.9,332.58,11,24,2,140,2592,1106
2026-02-24T23:10:20.363761Z,81c0cf7a-43f9-4aaf-8783-4953970e394d,CAPTAIN,WynnDestroyer,2026-02-24T08:35:00.105000Z,0.608,231.17,0,0,1,13,1773,1445
2026-02-24T23:10:20.363761Z,b3be31d6-e441-4299-a342-685898f35f30,CAPTAIN,BlueSkyMoose,2026-02-24T21:54:45.687000Z,0.052,1536.0,33,62,5,210,8294,4383
2026-02-24T23:10:20.363761Z,06793d89-e8ea-4ec2-aa55-4c5f03b93026,CAPTAIN,MoondustPeachy,2026-02-24T19:46:34.400000Z,0.142,301.25,12,12,4,41,1810,1114
2026-02-24T23:10:20.363761Z,ae32ae54-c15c-4c6d-ab46-3bdcec6e2e7f,CAPTAIN,kanyo0904,2026-02-24T21:55:09.755000Z,0.052,259.75,17,1,4,181,263,544
2026-02-24T23:10:20.363761Z,3ed556ef-70ef-4d27-8bae-c2cff73f9b20,CAPTAIN,YBN,2026-02-24T21:11:10.295000Z,0.083,114.83,0,0,1,4,1745,787
2026-02-24T23:10:20.363761Z,bf6fd3d8-f0b2-4831-9dc2-77db02b015d7,CAPTAIN,Gurlic,2026-02-22T20:34:01.235000Z,2.109,243.83,6,4,2,24,944,1104
2026-02-24T23:10:20.363761Z,d680883b-e7b2-4bfc-bad7-79372d97c60d,CAPTAIN,ddxWeCraft,2026-02-24T21:54:48.600000Z,0.052,227.83,14,9,0,112,771,666
2026-02-24T23:10:20.363761Z,2ad7fd38-792d-4862-ba2a-b7e1c1723b18,CAPTAIN,wrggg,2026-02-24T20:45:09.583000Z,0.101,864.58,46,192,2,799,851,593
2026-02-24T23:10:20.363761Z,065f7a4a-e15a-4bbf-ab2f-b55051e0b6de,CAPTAIN,parrandeno,2026-02-10T02:09:44.601000Z,14.875,85.83,12,4,1,16,1030,717
2026-02-24T23:10:20.363761Z,823ee888-e114-4ca9-9781-7086b5430a54,CAPTAIN,Liciela,2026-02-22T08:25:10.680000Z,2.615,1427.17,285,7,3,377,4688,1871
2026-02-24T23:10:20.363761Z,9ce7b212-c818-41cf-bd2a-9a2ad4f0e5df,CAPTAIN,Megawati,2026-02-24T16:28:04.868000Z,0.279,133.92,1,3,1,130,524,731
2026-02-24T23:10:20.363761Z,b7d4a9f2-73ba-47b6-bc7c-d8db98ad6a2e,CAPTAIN,cresseliah,2026-02-24T02:15:31.907000Z,0.871,136.17,0,1,2,7,1006,668
2026-02-24T23:10:20.363761Z,d0344f4e-a5fb-48ee-9359-1c82fb2320aa,CAPTAIN,gauvinsteven,2026-02-24T20:27:28.124000Z,0.113,309.92,1,0,0,1,1759,870
2026-02-24T23:10:20.363761Z,9c413f4a-9e5f-46e9-8b89-abdd46f3f74b,CAPTAIN,MelinoeNemesis,2026-02-21T15:31:06.350000Z,3.319,70.42,0,13,0,18,1387,460
